BBL,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,SPDist1,SPDist2,ResidFAR,CommFAR,FacilFAR
5012080032,M1-1,M3-1,<Null>,<Null>,<Null>,<Null>,0,1,2.4
2055190300,C3A,<Null>,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
5074590050,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
1006510105,M2-3,M3-2,<Null>,<Null>,<Null>,<Null>,0,2,0
5074530001,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
2027770903,M3-1,PARK,<Null>,<Null>,<Null>,<Null>,0,2,0
3025200100,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
2054170050,R3-2,C3A,R3-1,<Null>,<Null>,<Null>,0.6,0,1
5013060014,M2-1,M3-1,M1-1,<Null>,<Null>,<Null>,0,2,0
5064521500,R1-2,R3X,R3-2,<Null>,SRD,<Null>,0.5,0,1
4039880060,R3-2,PARK,<Null>,<Null>,<Null>,<Null>,0.6,0,1
2055240224,C3A,R3-1,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
4156690001,PARK,R5,<Null>,<Null>,<Null>,<Null>,0,0,0
2059310175,R1-1,<Null>,<Null>,<Null>,NA-2,<Null>,0.5,0,1
5041050050,R3-2,PARK,<Null>,<Null>,<Null>,<Null>,0.6,0,1
4039140001,R4,PARK,C3,<Null>,<Null>,<Null>,0.9,0,2
4151000150,R3-2,M1-1,<Null>,<Null>,<Null>,<Null>,0.6,0,1
1006510056,M2-3,<Null>,<Null>,<Null>,<Null>,<Null>,0,2,0
3025020001,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
4046080100,R4,<Null>,<Null>,<Null>,<Null>,<Null>,0.9,0,2
3039640008,M1-4/R8A,M1-4/R6A,<Null>,<Null>,MX-16,MX-16/EC-5,5.4,2,6.5
5074540005,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
4039880065,R3-2,PARK,<Null>,<Null>,<Null>,<Null>,0.6,0,1
1020040001,M1-1,R8,<Null>,<Null>,MMU,<Null>,0,1,2.4
4046130001,R4,R2A,<Null>,<Null>,<Null>,<Null>,0.9,0,2
1021750074,R7A,C4-4,<Null>,<Null>,IN,<Null>,4,0,4
3025100001,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
3025640001,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
2054090002,C3A,R2,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
2054870200,R4,C3A,R4A,PARK,<Null>,<Null>,0.9,0,2
4018850011,R4,R5,<Null>,<Null>,<Null>,<Null>,0.9,0,2
4046080080,R4,<Null>,<Null>,<Null>,<Null>,<Null>,0.9,0,2
3025670001,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
5071520018,M3-1,M2-1,<Null>,<Null>,SRD,<Null>,0,2,0
5074530010,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
5080030075,C3A,R3A,<Null>,<Null>,SRD,<Null>,0.6,0.5,1
5000750100,R3-1,R3-2,PARK,<Null>,<Null>,<Null>,0.6,0,1
5074520001,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
2054090040,R2,C3A,R3-1,<Null>,<Null>,<Null>,0.5,0,1
5074870100,M1-1,C4-1,<Null>,<Null>,SRD,<Null>,0,1,2.4
4046130050,R4,R3-2,<Null>,<Null>,<Null>,<Null>,0.9,0,2
2055250014,C3A,R3-1,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
1020040092,M1-1,<Null>,<Null>,<Null>,MMU,<Null>,0,1,2.4
4099150028,R7A,R4-1,<Null>,<Null>,DJ,<Null>,4,0,4
1020050027,M1-1,M1-2,<Null>,<Null>,<Null>,<Null>,0,1,2.4
2025390003,C4-4,<Null>,<Null>,<Null>,<Null>,<Null>,3.44,3.4,6.5
5074590025,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
3008270020,M2-1,M3-1,<Null>,<Null>,<Null>,<Null>,0,2,0
3088350120,C3,M2-1,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
4000180005,PARK,M3-1,<Null>,<Null>,<Null>,<Null>,0,0,0
4161900100,R3X,<Null>,<Null>,<Null>,<Null>,<Null>,0.6,0,1
3023400012,R8,R6,<Null>,<Null>,<Null>,<Null>,6.02,0,6.5
2027650195,M1-2,<Null>,<Null>,<Null>,HP,<Null>,0,2,4.8
5000680085,PARK,R3-2,M1-1,<Null>,<Null>,<Null>,0,0,0
5074540010,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
5054200195,R1-2,R3-1,<Null>,<Null>,SRD,<Null>,0.5,0,1
1020040056,M1-1,<Null>,<Null>,<Null>,MMU,<Null>,0,1,2.4
3023240060,R6,R8,<Null>,<Null>,<Null>,<Null>,2.43,0,4.8
3066650007,C8-2,<Null>,<Null>,<Null>,OP,<Null>,0,2,4.8
3088400090,C3,C8-1,<Null>,<Null>,<Null>,<Null>,0.6,0.5,1
3025380001,R8,R6,<Null>,<Null>,<Null>,<Null>,6.02,0,6.5
5074590075,R3-2,<Null>,<Null>,<Null>,SRD,<Null>,0.6,0,1
