dcpproxcode,bbl,dofproxcode
0,2022920049,1
0,2023220028,1
0,2023600080,1
0,2023730043,1
0,2024040008,1
0,2024360026,1
0,2024800001,1
0,2025140064,1
0,2025160007,1
0,2025160063,1
0,2025370006,1
0,2025650072,1
0,2025750065,1
0,2025760008,1
0,2025760011,1
0,2025770063,1
0,2025830050,1
0,2025910088,1
0,2025990092,1
0,2025990128,1
0,2027130002,1
0,2028030015,1
0,2028090053,1
0,2028540044,1
0,2028710140,1
0,2028890061,1
0,2030280044,1
0,2030440078,1
0,2030440080,1
0,2030650045,1
0,2030770034,1
0,2030910030,1
0,2032510490,1
0,2032520052,1
0,2032730278,1
0,2032910035,1
0,2033220037,1
0,2033290067,1
0,2033570018,1
0,2033760067,1
0,2034290225,1
0,2035150001,1
0,2035590031,1
0,2036530050,1
0,2036970018,1
0,2038370001,1
0,2038760043,1
0,2039190009,1
0,2039710046,1
0,2039890016,1
0,2040190041,1
0,2040320020,1
0,2040420325,1
0,2040620018,1
0,2040620310,1
0,2040810021,1
0,2040930016,1
0,2041230016,1
0,2041340001,1
0,2042260040,1
0,2043910025,1
0,2044300045,1
0,2022870053,2
0,2022920049,2
0,2023190109,2
0,2023400011,2
0,2023400195,2
0,2023760047,2
0,2025140064,2
0,2025160063,2
0,2025230061,2
0,2025370006,2
0,2025690032,2
0,2025770063,2
0,2025910088,2
0,2027360156,2
0,2028090053,2
0,2028540044,2
0,2028890061,2
0,2028890088,2
0,2030440078,2
0,2030650045,2
0,2030650069,2
0,2030770031,2
0,2030770034,2
0,2031120018,2
0,2031520043,2
0,2032730278,2
0,2032910035,2
0,2032940002,2
0,2032940030,2
0,2033570018,2
0,2035590031,2
0,2036970018,2
0,2039190009,2
0,2039640056,2
0,2039710046,2
0,2039890016,2
0,2040190041,2
0,2040320020,2
0,2040350001,2
0,2040620018,2
0,2040930016,2
0,2041330001,2
0,2044300045,2
0,2023170010,3
0,2023400063,3
0,2023400195,3
0,2025230061,3
0,2028540044,3
0,2028890088,3
0,2030770031,3
0,2030770034,3
0,2032940030,3
0,2038030005,3
0,2039640056,3
0,2040350001,3
0,2022810060,4
0,2023400011,4
0,2024290026,4
0,2024360026,4
0,2031520043,4
0,2024290026,5
0,2024360026,5
0,2025620086,5
0,2025650072,5
0,2026950038,5
0,2030650041,5
0,2030790001,5
0,2033290067,5
0,2033760067,5
0,2041080006,5
0,2043910025,5
0,2025620086,6
2,2025230049,0
2,2025230050,0
2,2025240016,0
2,2025260083,0
2,2025330029,0
2,2025690001,0
2,2028720100,0
2,2028720101,0
2,2028720177,0
2,2028740058,0
2,2028740154,0
2,2028740157,0
2,2030140009,0
2,2033350181,0
2,2033410050,0
2,2033410076,0
2,2037320001,0
3,2025220057,0
3,2025220063,0
3,2025220105,0
3,2025220106,0
3,2031150021,0
3,2033350178,0
