bldgclass,count
A0,8534
A1,123423
A2,46416
A3,7291
A4,4239
A5,100850
A6,816
A7,423
A8,29
A9,22812
B1,84962
B2,79171
B3,60304
B9,25720
C0,73080
C1,15409
C2,13498
C3,16224
C4,2953
C5,2551
C6,3283
C7,7761
C8,16
C9,411
CM,1
D0,263
D1,5116
D2,75
D3,1298
D4,3534
D5,306
D6,1097
D7,2105
D8,145
D9,562
E1,3967
E2,365
E7,268
E9,1683
F1,484
F2,83
F4,963
F5,1556
F8,25
F9,557
G0,2557
G1,1750
G2,2082
G3,181
G4,389
G5,160
G6,522
G7,5401
G8,258
G9,520
GU,130
GW,144
H1,69
H2,133
H3,307
H4,125
H5,20
H6,24
H7,2
H8,100
H9,67
HB,58
HH,21
HR,56
HS,39
I1,161
I2,7
I3,3
I4,47
I5,360
I6,178
I7,206
I9,266
J1,15
J2,9
J3,10
J4,40
J5,20
J6,39
J7,9
J8,19
J9,39
K1,7881
K2,3640
K3,47
K4,6089
K5,565
K6,255
K7,422
K8,49
K9,187
L1,74
L2,27
L3,12
L8,321
L9,170
M1,3912
M2,57
M3,541
M4,139
M9,1026
N1,17
N2,312
N3,9
N4,7
N9,293
O1,455
O2,1452
O3,117
O4,405
O5,1661
O6,861
O7,1206
O8,671
O9,149
P1,14
P2,166
P3,45
P4,14
P5,288
P6,79
P7,92
P8,209
P9,176
Q0,1568
Q1,1377
Q2,595
Q3,32
Q4,32
Q5,19
Q6,65
Q7,27
Q8,86
Q9,262
R0,15
R1,1562
R2,398
R3,1032
R4,947
R5,10
R6,584
R8,1
R9,13
RA,16
RB,94
RC,207
RD,229
RG,6
RH,10
RI,12
RK,17
RM,3240
RP,2
RR,37
RS,2
RW,9
RX,17
RZ,9
S0,223
S1,6085
S2,14547
S3,3055
S4,2578
S5,2656
S9,4249
T1,16
T2,191
T9,101
U0,87
U1,179
U2,217
U4,78
U5,12
U6,573
U7,959
U8,99
U9,341
V0,20130
V1,6582
V2,140
V3,202
V4,14
V5,27
V6,5
V7,40
V8,44
V9,518
W1,1206
W2,583
W3,223
W4,67
W5,59
W6,174
W7,26
W8,191
W9,406
Y1,233
Y2,105
Y3,14
Y4,25
Y5,2
Y6,58
Y7,29
Y8,25
Y9,38
Z0,398
Z1,30
Z2,40
Z3,149
Z4,71
Z5,7
Z7,123
Z8,187
Z9,2274
,469
