bbl,yearbuilt,cnstrct_yr,freq,difference
2026110001,2016,1849,1,167
2037990061,1950,1800,1,150
2033720009,1950,1800,1,150
2036930024,1950,1800,1,150
2036930019,1930,1800,1,130
2036860055,1930,1800,1,130
2041920004,1930,1800,1,130
2037330050,1930,1800,1,130
2041900025,1930,1800,1,130
2023800035,1930,1800,1,130
2032550004,1924,1800,1,124
2039140018,1924,1800,1,124
2042620047,1924,1800,1,124
2040860016,1924,1800,1,124
2030350042,2016,1899,2,117
2029380009,2015,1901,1,114
2031860076,2015,1901,1,114
2025070015,2016,1905,2,111
2044330043,2016,1910,1,106
2032250010,2016,1910,5,106
2033110118,2015,1910,1,105
2033930068,2014,1910,1,104
2040160032,2016,1915,2,101
2032550081,2016,1920,1,96
2028770280,2016,1920,1,96
2024210027,2015,1920,1,95
2038950065,2014,1920,1,94
2029790014,2015,1922,1,93
2041770028,2016,1925,1,91
2041690018,2016,1925,1,91
2024830005,2015,1927,1,88
2024210018,2017,1931,3,86
2030890051,2016,1930,2,86
2041970032,2016,1930,2,86
2041760003,2015,1930,4,85
2023830019,2016,1931,1,85
2026040140,2016,1931,1,85
2030220037,2015,1931,2,84
2030710055,2015,1931,2,84
2039910030,2008,1931,1,77
2043280019,2015,1940,1,75
2023400056,2017,1946,1,71
2040560070,2016,1950,1,66
2043220007,2014,1949,1,65
2038440001,2014,1950,1,64
2042230039,2016,1962,1,54
2030650013,2016,1963,1,53
2024230057,1950,1901,1,49
2033700025,1950,1901,1,49
2042660026,1980,1950,1,30
2037940075,1950,1920,1,30
2038150083,1950,1925,1,25
2030660024,2015,1990,4,25
2036980075,1950,1925,1,25
2038020080,1950,1925,2,25
2036960069,1959,1935,1,24
2033340042,1950,1930,1,20
2029340023,2014,1997,1,17
2026900016,1926,1910,1,16
2027350020,2015,2004,1,11
2027630075,1930,1920,1,10
2038020075,1930,1920,2,10
2042630045,1930,1925,1,5
2033300042,1924,1920,3,4
2039377501,1941,1939,29,2
2023737501,2014,2012,1,2
2032770020,2008,2007,1,1
2032780059,2015,2016,1,-1
2028870169,2016,2017,1,-1
2028880033,2016,2017,1,-1
2029220002,2014,2015,1,-1
2030230063,2015,2016,1,-1
2038770045,2007,2008,1,-1
2029990042,2016,2017,1,-1
2029340050,2014,2015,1,-1
2031100041,2012,2013,1,-1
2029700013,2016,2017,1,-1
2030560011,1930,1931,1,-1
2041740010,2009,2010,1,-1
2026760075,2016,2017,1,-1
2032660021,2014,2015,1,-1
2036590043,2014,2015,1,-1
2033060001,2010,2011,1,-1
2031650010,2013,2014,1,-1
2030680095,2016,2017,1,-1
2026910064,2016,2017,1,-1
2026910022,2015,2017,1,-2
2023347501,2014,2016,2,-2
2039990032,2012,2014,1,-2
2026420113,2013,2015,1,-2
2028280024,2014,2016,1,-2
2031150003,2014,2016,1,-2
2028450047,2015,2017,1,-2
2028540008,2008,2010,1,-2
2028650001,2014,2016,1,-2
2033180029,2014,2016,1,-2
2025820065,2015,2017,1,-2
2024110001,2015,2017,1,-2
2030160050,2015,2017,1,-2
2024410200,2015,2017,1,-2
2029840046,2015,2017,1,-2
2029840067,2014,2016,1,-2
2028140008,2013,2015,1,-2
2026937502,2011,2014,1,-3
2040077501,2013,2016,2,-3
2039060061,2014,2017,1,-3
2025827501,2013,2016,1,-3
2029910005,2014,2017,1,-3
2023700035,2014,2017,1,-3
2033550121,2014,2017,1,-3
2033300048,2010,2013,1,-3
2033100029,2013,2016,1,-3
2023200011,2013,2017,1,-4
2040000011,1924,1931,1,-7
2028879100,2006,2015,1,-9
2044350016,2005,2015,1,-10
2029330016,1920,1931,1,-11
2042670029,1941,1955,1,-14
2038110035,1930,1950,1,-20
2041050036,1930,1950,1,-20
2041290031,1930,1950,1,-20
2041050033,1930,1950,1,-20
2041060027,1930,1950,1,-20
2022850058,1910,1931,1,-21
2044280019,1983,2015,1,-32
2040030040,1980,2012,1,-32
2035570073,1930,1963,1,-33
2024099059,1980,2015,1,-35
2038450046,1924,1960,1,-36
2026070017,1972,2016,1,-44
2023140010,1965,2016,1,-51
2024209020,1964,2015,1,-51
2024209078,1964,2015,1,-51
2029240007,1931,1993,1,-62
2023317501,1927,2015,1,-88
2025060062,1925,2016,1,-91
2024230180,1901,2015,1,-114
2033350134,0,1800,1,-1800
2040530047,0,1899,1,-1899
2023880069,0,1899,2,-1899
2026000096,0,1899,2,-1899
2028020029,0,1899,1,-1899
2028050049,0,1899,2,-1899
2042540011,0,1899,1,-1899
2042540014,0,1899,1,-1899
2031440005,0,1901,1,-1901
2032370119,0,1901,2,-1901
2024590053,0,1901,1,-1901
2024590054,0,1901,1,-1901
2022800075,0,1901,1,-1901
2040220018,0,1901,1,-1901
2028050048,0,1901,1,-1901
2028740059,0,1901,1,-1901
2031440066,0,1901,1,-1901
2031440065,0,1901,1,-1901
2030670066,0,1901,1,-1901
2031440006,0,1901,1,-1901
2031440004,0,1901,1,-1901
2033290128,0,1901,1,-1901
2032260100,0,1905,8,-1905
2033210065,0,1910,1,-1910
2031100088,0,1910,2,-1910
2033970016,0,1910,1,-1910
2028740157,0,1910,1,-1910
2028720177,0,1910,1,-1910
2038780020,0,1910,2,-1910
2030410045,0,1914,1,-1914
2027450003,0,1920,3,-1920
2030790074,0,1920,1,-1920
2028100007,0,1920,2,-1920
2032710138,0,1920,1,-1920
2026740009,0,1920,1,-1920
2026980075,0,1920,1,-1920
2032560045,0,1920,1,-1920
2028200062,0,1920,1,-1920
2028200060,0,1920,1,-1920
2042930044,0,1920,1,-1920
2042410023,0,1920,2,-1920
2028100010,0,1920,2,-1920
2032160070,0,1920,1,-1920
2025170027,0,1920,1,-1920
2026630041,0,1920,1,-1920
2027450002,0,1922,1,-1922
2035230024,0,1924,1,-1924
2028350012,0,1925,3,-1925
2033410055,0,1925,1,-1925
2028650122,0,1925,2,-1925
2031270023,0,1925,2,-1925
2028210011,0,1925,1,-1925
2028350001,0,1926,1,-1926
2040470001,0,1926,1,-1926
2028450007,0,1926,2,-1926
2028730058,0,1927,1,-1927
2033350110,0,1927,1,-1927
2028440021,0,1927,2,-1927
2033350181,0,1928,1,-1928
2033350178,0,1928,1,-1928
2031990102,0,1928,1,-1928
2031990101,0,1928,1,-1928
2027650022,0,1928,3,-1928
2026980071,0,1930,1,-1930
2033350186,0,1930,2,-1930
2033350188,0,1930,1,-1930
2033350189,0,1930,1,-1930
2033350191,0,1930,2,-1930
2034470047,0,1930,1,-1930
2030890066,0,1930,1,-1930
2038110021,0,1930,1,-1930
2028720100,0,1930,2,-1930
2028580001,0,1930,1,-1930
2039350056,0,1930,1,-1930
2040180002,0,1930,2,-1930
2033350123,0,1930,1,-1930
2042190044,0,1930,1,-1930
2042190045,0,1930,1,-1930
2043140036,0,1930,2,-1930
2030660003,0,1931,3,-1931
2023810001,0,1931,4,-1931
2023840020,0,1931,1,-1931
2031390001,0,1931,1,-1931
2031430119,0,1931,1,-1931
2031430155,0,1931,2,-1931
2037080045,0,1931,1,-1931
2023650009,0,1931,1,-1931
2025460011,0,1931,3,-1931
2030160011,0,1931,1,-1931
2023740061,0,1931,1,-1931
2039630071,0,1935,1,-1935
2027680251,0,1935,1,-1935
2042580005,0,1940,1,-1940
2034290309,0,1940,1,-1940
2039350058,0,1948,1,-1948
2023530020,0,1950,1,-1950
2040530048,0,1950,1,-1950
2033130018,0,1950,1,-1950
2037640040,0,1951,3,-1951
2027770250,0,1959,1,-1959
2033110044,0,1963,1,-1963
2033130069,0,1963,1,-1963
2023400058,0,1964,1,-1964
2026060140,0,1965,1,-1965
2036700001,0,1966,1,-1966
2032510420,0,1967,1,-1967
2028810058,0,1967,1,-1967
2032640001,0,1969,1,-1969
2031360001,0,1973,1,-1973
2031380001,0,1974,1,-1974
2038380260,0,1975,8,-1975
2034460046,0,1975,1,-1975
2037320073,0,1989,1,-1989
2030640020,0,1992,1,-1992
2037320003,0,1994,1,-1994
2023940028,0,1996,1,-1996
2032710101,0,2003,1,-2003
2034420058,0,2004,1,-2004
2041680045,0,2005,1,-2005
2034320150,0,2007,1,-2007
2038460017,0,2008,1,-2008
2038460016,0,2008,1,-2008
2028590034,0,2009,1,-2009
2037320001,0,2011,1,-2011
2038050011,0,2014,1,-2014
2039097501,0,2015,1,-2015
2030330038,0,2016,1,-2016
2023150014,0,2017,1,-2017
2025820165,0,2017,1,-2017
